cik,original,cloned
1615359,5.1,10.4
1728355,13.1,19.4
1546283,-23.2,-24.3
1763409,59.4,17.2
757657,-1.2,2.3
1179232,-14.2,-14.7
1569638,50.9,37.0
1790604,32.1,26.1
1519319,-6.9,-5.9
1302404,-4.3,-0.7
1050068,121.7,22.3
1606588,18.4,33.8
1294571,15.3,19.2
1436871,59.1,18.5
1766520,6.5,22.4
1333986,8.9,22.1
1315478,-1.1,-3.9
1733510,15.7,16.3
1620081,-3.6,-1.0
1392364,-2.5,51.0
1671623,4.7,7.7
1510099,1.6,25.7
1115373,1.4,-14.3
711089,0.5,5.1
1622346,176.7,283.5
1713587,39.3,27.7
1535588,167.3,103.6
1041773,3.7,18.4
1145255,-12.8,-8.9
1582633,-4.5,-11.6
1728194,70.9,124.9
1096343,0.3,-1.0
714395,5.6,21.3
869178,-2.0,-4.1
1348883,-8.0,1.1
1082327,12.1,10.0
831001,-7.1,47.9
1507640,-28.9,-13.6
1803994,65.4,67.4
1541055,-5.6,-6.4
1442756,-15.2,26.7
314169,-10.8,16.9
1632118,-2.9,-0.6
769963,21.2,39.2
1466153,-11.1,-1.8
1108893,-8.6,-3.8
1613634,-12.3,-29.3
872359,16.4,-1.9
1802277,-6.5,0.3
1351991,17.6,19.0
830588,88.9,24.6
1132556,14.7,17.3
1519113,-0.9,6.4
934866,-12.1,27.4
1695658,0.3,0.4
1639997,-4.2,2.3
1757260,-18.1,-11.7
1714107,5.4,3.7
1453885,-20.2,-18.8
1801634,2.8,7.1
1727573,-5.6,-2.9
1586052,7.2,3.1
1133014,-6.0,-0.1
1020585,-6.2,1.5
1599275,-13.4,-3.7
886982,-4.6,90.2
872162,-6.5,-5.4
1602119,-10.0,63.1
1730961,-6.3,106.4
1569863,4.9,8.9
1716659,0.4,-1.4
1785545,0.2,-33.1
902367,-14.3,1.1
1009006,-10.9,-13.5
1512162,207.6,48.9
1773205,14.0,19.0
1483232,70.9,91.7
1687509,49.3,25.0
1634212,6.8,8.4
1656666,29.4,22.7
1027796,-8.4,-8.0
1801868,6.4,15.9
1731878,12.5,10.4
1633695,0.6,1.3
1055980,-2.5,-9.2
1540142,-15.4,-16.4
1321220,-19.5,-9.7
1059543,-10.5,-3.4
1640951,-7.0,-1.4
1535323,-7.2,-10.0
1675884,35.7,45.5
898413,-1.6,20.8
1352342,15.2,18.5
1695490,31.5,38.2
1654599,9.4,75.9
1694126,-4.6,118.1
1802279,-7.2,1.1
1263548,3.0,1.0
1397076,-5.8,-8.0
1688774,8.9,10.2
1676292,75.9,107.6
1005607,-2.9,-2.0
1767868,16.4,47.6
1730959,-0.7,0.8
1034524,9.6,9.3
1589689,30.4,8.8
1167557,-3.2,-1.2
1657111,3.4,24.9
1020918,-5.3,-6.5
1569067,-19.4,-21.3
1806222,27.9,25.5
1024716,-25.3,-19.7
200217,-5.9,0.0
1734565,-7.4,-6.4
1714506,8.8,12.0
1803106,-2.6,8.4
1447884,12.6,168.7
1009258,4.8,-1.0
1551867,35.9,80.7
14661,-16.4,-10.0
1369702,-1.8,4.0
1486713,-1.1,3.5
1076964,-3.3,-0.8
1470261,-6.6,-4.5
1649888,-2.8,7.8
1279885,-3.1,1.2
1434323,-1.6,2.0
1422848,-7.9,10.0
906304,-25.8,-20.9
1059187,-11.3,-7.1
1541666,-10.8,143.8
1375534,2.9,4.6
1427196,63.0,-6.0
1305227,-1.5,-3.0
1486946,-2.1,0.1
1315889,-14.7,-4.7
1765768,10.9,45.8
1568788,13.3,9.1
1767803,39.3,42.7
1639753,18.2,14.2
1484043,-7.0,-1.8
1078658,-5.6,2.6
1000742,-19.1,-6.3
1289851,-29.8,-13.1
1418773,1.9,3.1
1804116,36.1,53.5
1450008,-31.0,-27.2
1062938,-8.7,1.4
1821407,22.7,-7.0
1352547,-1.1,5.6
1639754,7.1,3.0
1534400,17.4,14.8
1732008,53.9,59.8
1729672,-2.2,13.8
1300336,6.4,36.4
1483259,-8.8,-7.8
1527641,21.1,35.0
1769700,-8.7,-1.8
1389544,8.3,4.7
1583119,12.9,23.2
1698926,-9.9,39.5
1697360,6.0,5.8
1686444,8.8,13.1
1652062,89.0,141.9
1633869,3.5,11.2
1632187,-0.2,275.1
1633055,3.3,-14.1
1608826,-9.0,5.7
1034541,1.2,4.2
1106505,-5.8,-1.2
1103245,2.3,6.4
1322853,-16.4,-0.3
1704107,50.9,68.5
1802647,41.9,46.5
1595849,36.9,19.1
35527,-3.4,-1.8
1713520,4.0,-1.5
1618872,-6.1,-3.1
1568540,12.1,14.5
1510668,-15.0,13.0
1543100,-4.1,-2.6
1800913,-3.5,5.2
1585822,1.6,21.0
1717977,1.0,41.6
1730769,100.1,37.6
1780055,-3.6,-3.5
1532351,15.8,66.5
1731445,2.6,4.8
1776382,42.7,-78.4
1318757,33.7,10.8
1390003,0.6,3.7
1483065,-9.2,-6.5
1034546,-10.0,-4.6
1774879,0.5,1.8
1794499,-11.6,24.6
1578177,2.6,20.2
1393818,0.2,41.6
822648,-30.6,-28.1
813933,-12.8,-11.4
1797678,96.0,62.1
1002672,6.9,7.0
1756543,6.6,9.8
1762776,-2.6,-13.4
1541496,4.0,7.0
9634,-2.5,131.5
1213206,6.5,180.2
1725248,-13.6,7.2
842766,3.2,4.9
1599210,-16.3,-24.2
1484429,-4.0,0.8
1472190,-22.1,-15.6
1166880,21.5,106.0
1404574,17.7,22.6
1512597,71.5,147.0
1132708,-6.4,-4.6
1224014,-9.1,-4.0
850401,0.1,99.9
1483866,-4.0,-1.7
825204,-5.8,-19.3
1542284,0.8,3.5
1162827,-1.0,2.5
1800379,-5.1,5.0
1424322,-9.5,-10.3
1399770,-4.3,0.4
1566475,52.6,32.4
1802278,13.2,17.5
1599273,64.7,-7.0
1738560,-3.3,5.2
1694127,5.3,16.4
314965,-19.5,-17.1
1325447,-8.5,-4.6
1315828,73.0,105.2
866590,6.7,11.5
1010911,-13.9,275.9
1509974,1.2,10.3
1583977,23.5,38.3
1720792,-22.1,-12.1
1805250,89.4,56.9
1313926,-37.8,-54.3
1275880,-8.7,-4.3
1334952,-8.3,-2.6
1673385,26.4,29.2
1729049,1.7,6.7
1020317,-0.6,-6.2
1276853,-4.9,-3.3
1638049,-0.3,1.6
1676603,-1.7,5.9
1640361,-17.3,-14.6
1517429,-8.3,-8.9
1107211,-37.2,-38.6
1466538,34.9,164.4
1431431,74.1,202.5
1113629,-17.5,-12.5
1507683,7.5,9.9
769954,-30.8,-11.4
1542421,31.8,28.1
1608046,163.6,8.9
1352512,0.1,1.8
872163,-23.3,-19.5
1697597,6.6,6.0
1329883,-8.1,-2.2
1490429,85.2,3.4
1511144,-0.2,2.5
1730960,42.7,42.6
1321219,-20.1,-24.5
1811491,14.3,31.9
1603465,21.6,12.6
1512538,27.5,46.4
1736260,18.7,4.8
1766510,10.8,16.6
1603001,-5.6,6.9
1632574,18.4,26.5
1686278,17.9,-39.0
1700530,-27.4,-24.6
1750086,18.4,7.8
1387818,-1.4,11.2
1742315,-9.5,2.6
1627436,21.0,37.9
1549230,51.8,45.3
1378410,-17.6,79.4
1697767,14.3,16.2
71259,-6.0,-8.2
1599084,1.4,2.7
1501542,-9.9,-3.8
1512367,30.3,39.0
1007399,81.9,103.6
1353254,-22.4,-22.3
1697303,2.3,93.3
937615,-3.4,-1.7
869179,-15.1,-12.1
1121943,-38.1,-65.5
1536562,84.3,218.8
1808919,-3.7,216.4
1723925,12.6,17.0
1316466,-20.2,-22.1
1786767,54.8,51.6
1415030,-26.1,18.8
1318153,150.8,-71.5
1698146,1.9,4.6
1511985,2.7,8.4
1703383,1.5,6.6
1523847,0.0,13.0
1056504,-38.8,-36.0
1524408,-3.1,-6.3
1034184,13.9,12.8
938206,-1.8,1.7
1580162,17.7,42.4
