,Samples,Mean,Mean,Std. Dev.,Std. Dev.,Min,Min,25%,25%,50%,50%,75%,75%,Max,Max
, ,Original,Cloned,Original,Cloned,Original,Cloned,Original,Cloned,Original,Cloned,Original,Cloned,Original,Cloned
Factor,,,,,,,,,,,,,,,
Reporting Periods,3643.0,29.0,29.0,10.21,10.21,6.0,6.0,19.0,19.0,31.0,31.0,39.0,39.0,40.0,40.0
Recent Holdings,3643.0,247.16,247.16,448.24,448.24,6.0,6.0,43.0,43.0,101.0,101.0,225.0,225.0,4428.0,4428.0
Recent Asset Value ($M),3643.0,7700.17,1866.43,77463.51,5227.44,2.05,1.55,223.84,183.62,511.92,424.38,1667.16,1268.68,4070960.99,147491.05
Alpha (%),3643.0,7.94,20.82,32.67,54.66,-77.4,-88.0,-7.7,-3.9,0.4,6.3,12.8,24.25,261.1,396.0
Beta,3643.0,1.14,1.42,1.18,2.2,-6.88,-18.49,0.8,0.81,1.03,1.13,1.33,1.68,17.94,33.58
Ann. Arithmetic Mean Return (%),3643.0,23.1,38.02,33.82,60.64,-74.9,-72.3,6.1,10.3,14.5,20.4,28.0,40.2,262.6,710.8
Ann. Geometric Mean Return (%),3643.0,30.67,67.44,56.66,211.92,-56.3,-54.9,6.2,10.7,15.3,22.1,31.05,46.7,652.8,5848.0
Ann. Median Return (%),3643.0,14.73,13.96,18.4,20.55,-53.8,-67.8,4.9,3.3,13.5,12.9,23.0,23.2,214.3,237.1
CAGR (%),3643.0,9.99,13.08,19.01,23.12,-64.6,-62.8,0.75,1.2,8.8,11.6,17.8,21.9,121.2,220.2
Ann. Sharpe (RFR=2%),3643.0,0.4,0.48,0.49,0.46,-2.93,-2.29,0.17,0.26,0.4,0.46,0.66,0.7,4.13,3.5
Ann. Sortino (MAR=2%),3635.0,1.4,2.2,6.95,11.87,-2.87,-3.07,0.33,0.55,0.84,1.16,1.63,2.24,364.39,628.88
Ann. Volatility (%),3643.0,51.93,79.56,67.09,125.31,6.2,7.5,19.7,22.5,28.8,38.9,50.0,75.95,446.3,1324.0
Max Drawdown - Qtr Returns (%),3643.0,-35.53,-39.82,21.01,24.33,-91.44,-98.25,-46.96,-56.82,-28.81,-34.52,-20.1,-19.26,-0.04,0.67
Ann. Excess Return (%),3643.0,9.69,25.48,33.49,60.46,-88.2,-84.9,-6.7,-1.8,1.2,8.0,14.4,27.6,237.2,697.6
Tracking Error,3643.0,23.33,38.07,34.23,63.08,1.4,0.8,6.3,8.9,11.9,17.8,22.9,36.85,224.9,661.7
Information Ratio,3643.0,-0.08,0.38,1.4,1.11,-6.99,-6.46,-0.86,-0.18,0.1,0.52,0.77,0.97,10.19,6.44
