cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1615359,10.4,0.435,17.1,18.2,17.5,1.298,3.11,11.6,-7.41,4.4,6.2,0.71
1728355,19.4,1.45,37.2,42.7,32.5,0.889,1.29,39.6,-43.48,24.3,16.5,1.473
1546283,-24.3,1.888,-3.0,-3.0,-10.0,-0.125,-0.2,40.1,-34.61,-15.2,17.1,-0.889
1763409,17.2,2.246,44.7,52.8,4.8,0.343,1.207,124.4,-51.29,31.4,60.3,0.521
757657,2.3,1.102,15.8,16.8,14.9,0.738,1.577,18.8,-16.61,3.4,6.0,0.567
1179232,-14.7,1.933,7.5,7.7,-2.1,0.102,0.353,53.3,-39.58,-5.0,24.2,-0.207
1569638,37.0,-0.528,33.6,38.1,20.8,0.566,1.039,55.9,-54.96,21.4,29.2,0.733
1790604,26.1,1.675,50.9,61.5,50.9,1.14,6.201,42.9,-14.06,35.3,18.8,1.878
1519319,-5.9,0.635,2.5,2.5,1.2,0.03,0.17,16.0,-20.48,-9.6,7.3,-1.315
1302404,-0.7,1.34,14.7,15.5,12.0,0.506,0.914,25.1,-34.25,2.7,9.5,0.284
1050068,22.3,-0.194,22.6,24.6,11.4,0.39,0.735,52.9,-41.75,11.8,27.5,0.429
1606588,33.8,0.052,36.3,41.5,31.0,0.744,1.66,46.1,-31.47,24.8,24.0,1.033
1294571,19.2,0.283,24.1,26.4,22.1,0.802,1.277,27.6,-27.47,11.6,14.7,0.789
1436871,18.5,0.546,26.5,29.2,23.0,0.67,2.187,36.5,-22.24,13.4,18.2,0.736
1766520,22.4,1.784,44.0,51.8,20.2,0.487,1.11,86.2,-55.31,31.0,41.2,0.752
1333986,22.1,1.088,38.9,44.9,43.2,2.207,12.403,16.7,-3.93,23.3,4.5,5.178
1315478,-3.9,1.327,11.3,11.8,9.4,0.444,0.781,20.9,-21.38,-0.6,6.6,-0.091
1733510,16.3,0.85,26.5,29.3,25.1,0.899,2.399,27.3,-16.82,14.8,12.2,1.213
1620081,-1.0,0.885,9.8,10.1,9.1,0.55,0.991,14.1,-15.93,-2.1,4.1,-0.512
1392364,51.0,2.137,74.2,97.6,16.9,0.448,1.788,161.1,-73.05,62.3,79.7,0.782
1671623,7.7,1.061,20.9,22.6,16.3,0.537,1.383,35.2,-22.59,8.4,15.9,0.528
1510099,25.7,2.14,49.3,59.2,3.5,0.424,1.248,111.6,-64.29,37.2,54.7,0.68
1115373,-14.3,0.674,-5.6,-5.5,-13.5,-0.222,-0.19,34.3,-71.24,-17.6,16.8,-1.048
711089,5.1,0.774,14.4,15.2,14.2,0.912,1.683,13.6,-14.77,3.0,4.8,0.625
1622346,283.5,8.949,371.7,1285.1,39.8,0.439,8.182,841.5,-78.43,360.0,419.9,0.857
1713587,27.7,5.905,91.3,127.6,-12.3,0.499,1.691,179.1,-77.41,78.9,85.9,0.919
1535588,103.6,2.322,128.8,205.3,37.1,0.415,3.266,305.4,-76.66,116.8,152.2,0.767
1041773,18.4,1.314,34.1,38.8,27.8,0.71,1.247,45.3,-35.16,21.7,21.0,1.033
1145255,-8.9,0.744,0.7,0.7,-1.2,-0.069,0.012,19.0,-26.31,-11.5,8.2,-1.402
1582633,-11.6,1.279,2.4,2.4,-10.2,0.01,0.053,41.9,-77.56,-9.0,19.8,-0.455
1728194,124.9,13.548,257.8,631.5,-31.8,0.549,5.311,466.0,-82.37,246.2,230.0,1.07
1096343,-1.0,2.454,25.0,27.5,-5.8,0.3,0.489,76.7,-90.5,13.2,36.2,0.365
714395,21.3,2.393,48.9,58.6,2.8,0.478,0.912,98.0,-80.58,36.2,46.7,0.775
