cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1615359,5.1,0.796,15.1,16.0,15.3,1.153,3.725,11.4,-4.84,3.0,4.2,0.714
1728355,13.1,1.556,32.7,37.0,20.8,0.574,1.123,53.5,-43.6,19.4,22.6,0.858
1546283,-23.2,1.316,-7.4,-7.2,-11.3,-0.319,-0.449,29.3,-36.73,-19.9,11.2,-1.777
1763409,59.4,1.673,81.0,109.0,18.0,0.406,3.123,194.6,-39.19,67.3,96.2,0.7
757657,-1.2,1.103,12.8,13.5,11.2,0.528,0.95,20.6,-21.33,-0.0,5.8,-0.0
1179232,-14.2,1.569,5.3,5.5,-2.6,0.07,0.242,48.0,-36.98,-7.8,21.4,-0.364
1569638,50.9,-0.362,48.8,58.5,24.6,0.569,1.293,82.2,-64.15,35.6,42.3,0.842
1790604,32.1,0.327,39.3,45.5,40.4,1.301,2.51,28.7,-19.69,21.4,15.4,1.39
1519319,-6.9,0.953,5.7,5.9,3.9,0.197,0.303,19.0,-27.04,-7.4,6.3,-1.175
1302404,-4.3,1.267,11.0,11.5,8.4,0.384,0.565,23.5,-34.46,-1.5,7.3,-0.205
1050068,121.7,-4.338,81.0,109.1,9.1,0.382,1.677,206.8,-87.21,69.1,106.3,0.65
1606588,18.4,0.704,27.2,30.1,26.9,1.041,2.083,24.2,-21.14,15.6,11.1,1.405
1294571,15.3,0.376,21.5,23.3,19.1,0.73,1.001,26.7,-35.03,8.2,14.3,0.573
1436871,59.1,4.252,115.4,175.7,10.4,0.34,2.071,334.1,-90.06,100.7,165.9,0.607
1766520,6.5,0.897,18.2,19.5,17.1,0.792,1.437,20.5,-18.37,5.3,6.4,0.828
1333986,8.9,1.141,29.0,32.3,30.0,1.346,2.592,20.1,-14.25,11.2,3.7,3.027
1315478,-1.1,1.122,12.7,13.3,11.3,0.565,1.058,18.9,-19.87,0.2,4.6,0.043
1733510,15.7,0.628,23.9,26.2,22.4,0.882,1.327,24.9,-26.04,12.1,11.6,1.043
1620081,-3.6,0.975,8.3,8.6,7.0,0.362,0.671,17.4,-17.42,-3.9,4.0,-0.975
1392364,-2.5,1.83,18.8,20.1,10.9,0.407,0.787,41.2,-32.24,6.3,16.6,0.38
1671623,4.7,1.067,19.2,20.6,17.4,0.727,1.282,23.6,-20.44,5.5,7.7,0.714
1510099,1.6,2.131,26.0,28.7,1.5,0.312,1.004,77.0,-57.41,13.5,36.1,0.374
1115373,1.4,0.664,10.4,10.8,9.5,0.531,1.176,15.7,-14.77,-2.1,6.7,-0.313
711089,0.5,0.833,10.7,11.1,9.9,0.563,1.046,15.4,-17.25,-1.2,4.4,-0.273
1622346,176.7,-4.294,136.4,223.4,34.1,0.473,3.892,284.4,-57.05,124.5,144.3,0.863
1713587,39.3,4.073,85.7,117.4,-14.8,0.467,1.533,179.4,-77.99,72.8,86.2,0.845
1535588,167.3,0.658,176.2,330.6,77.8,0.407,8.965,428.0,-31.67,163.7,214.0,0.765
1041773,3.7,1.16,18.1,19.4,5.7,0.321,0.525,50.2,-50.35,5.4,23.0,0.235
1145255,-12.8,0.76,-2.5,-2.5,-4.4,-0.239,-0.186,18.9,-32.28,-15.4,7.7,-2.0
