Date,Ticker,Open,High,Low,Close,Volume,OpenAdjusted,HighAdjusted,LowAdjusted,CloseAdjusted,VolumeAdjusted
2022-01-03,SAH,49.74,51.15,49.41,49.69,189388.0,47.5239,48.8711,47.2086,47.4762,189388.0
2022-01-04,SAH,50.26,51.75,49.85,50.63,249021.0,48.0208,49.4444,47.629,48.3743,249021.0
2022-01-05,SAH,50.77,51.9,49.77,49.79,197268.0,48.508,49.5877,47.5526,47.5717,197268.0
2022-01-06,SAH,50.315,51.05,49.36,50.13,231811.0,48.0733,48.7756,47.1609,47.8966,231811.0
2022-01-07,SAH,49.82,51.47,49.47,49.66,205134.0,47.6004,49.1769,47.266,47.4475,205134.0
2022-01-10,SAH,49.18,49.9,47.99,49.7,215279.0,46.9889,47.6768,45.8519,47.4857,215279.0
2022-01-11,SAH,49.53,50.1,48.53,49.89,192026.0,47.3233,47.8679,46.3678,47.6673,192026.0
2022-01-12,SAH,49.7,50.4721,47.78,47.97,256760.0,47.4857,48.2234,45.6513,45.8328,256760.0
2022-01-13,SAH,48.46,49.43,48.07,48.8,195700.0,46.301,47.2277,45.9283,46.6258,195700.0
2022-01-14,SAH,48.26,49.2499,46.93,48.19,254494.0,46.1099,47.0557,44.8391,46.043,254494.0
2022-01-17,SAH,48.26,49.2499,46.93,48.19,254494.0,46.1099,47.0557,44.8391,46.043,254494.0
2022-01-18,SAH,48.19,49.47,47.67,48.24,282109.0,46.043,47.266,45.5462,46.0908,282109.0
2022-01-19,SAH,48.25,48.48,46.15,46.73,416320.0,46.1003,46.3201,44.0939,44.648,416320.0
2022-01-20,SAH,46.5,48.13,44.5811,44.72,359120.0,44.4283,45.9857,42.5949,42.7276,359120.0
2022-01-21,SAH,44.43,46.84,44.17,45.89,387837.0,42.4505,44.7531,42.2021,43.8455,387837.0
2022-01-24,SAH,45.42,49.74,44.8201,49.26,541256.0,43.3964,47.5239,42.8232,47.0653,541256.0
2022-01-25,SAH,48.58,51.12,47.93,50.4,395815.0,46.4156,48.8425,45.7946,48.1545,395815.0
2022-01-26,SAH,50.22,51.0573,49.11,49.47,443640.0,47.9825,48.7825,46.922,47.266,443640.0
2022-01-27,SAH,50.2,50.87,49.56,50.02,308830.0,47.9634,48.6036,47.352,47.7915,308830.0
2022-01-28,SAH,50.09,50.62,48.2501,49.49,322221.0,47.8583,48.3647,46.1004,47.2851,322221.0
2022-01-31,SAH,49.02,51.09,48.61,51.06,367192.0,46.836,48.8138,46.4443,48.7851,367192.0
2022-02-01,SAH,50.94,51.455,49.7,50.99,330412.0,48.6705,49.1625,47.4857,48.7182,330412.0
2022-02-02,SAH,50.68,51.34,49.5,50.44,194471.0,48.4221,49.0526,47.2946,48.1927,194471.0
2022-02-03,SAH,50.28,51.27,49.42,49.56,217297.0,48.0399,48.9858,47.2182,47.352,217297.0
2022-02-04,SAH,49.47,49.88,47.14,48.5,277189.0,47.266,47.6577,45.0398,46.3392,277189.0
2022-02-07,SAH,48.79,49.95,47.7,48.01,195547.0,46.6163,47.7246,45.5748,45.871,195547.0
2022-02-08,SAH,47.77,49.805,47.72,49.14,179803.0,45.6417,47.586,45.5939,46.9507,179803.0
2022-02-09,SAH,49.77,50.89,49.5,49.77,274143.0,47.5526,48.6227,47.2946,47.5526,274143.0
2022-02-10,SAH,49.35,49.77,47.97,48.36,253586.0,47.1513,47.5526,45.8328,46.2054,253586.0
